converted_station_cd1,converted_station_cd2
1131102,2800616
2800616,2800114
2800916,2800917
2800917,2800918
2800918,1130203
2100111,2800602
2800602,2800603
2800603,2800604
2800604,2800605
2800605,2200301
2200301,2800607
2800607,2800608
2800608,1130212
2801012,2800217
2800518,1130205
2900108,2900109
2900109,2900110
2900110,2900111
2900111,2900112
2900112,2900113
2900113,2500206
2500206,2900115
2900115,2900116
2900116,2900117
2900117,1130910
2900301,2900108
2900108,2900109
1130208,1130205
1130205,1130204
1130204,1130201
1130201,1130804
1130804,1130307
1130307,2900301
2900109,2900110
2900110,2900111
2900111,2900112
2900112,2900113
2900113,2500206
2500206,2900115
2900115,2900116
2900116,2900117
2900117,1130910
1130604,2900301
2900301,2900108
1131316,9930108
9930108,2800205
9930111,9930112
9930112,1131321
1131321,9930114
9930114,2800811
2800811,2800412
2800412,2800621
9930120,9930121
2800916,2800318
2800318,2800116
1130207,1130208
2800220,1131308
1131308,2200704
2200106,2200402
2700101,9930208
9930208,9930121
9930121,1130102
1130102,2800313
2800109,2800309
1131320,9930112
9930112,2100201
1130203,2800918
2800918,2800917
2800917,9930208
2800315,2800208
2800208,2800807
2800807,1131317
1131317,9930108
1130208,2800217
2800407,2800807
2800807,1131805
1130222,9930111
9930111,2100201
2100201,1132004
1132004,1132005
1130102,9930120
9931603,9931604
1130702,1130703
2700132,2700133
1132617,9933102
9933102,1131339
1131339,9930515
1132617,9933102
9933102,1131339
1130227,9933602
2700205,2700207
1133228,1130201
1130218,1130217
9931604,9931603
1130111,1130112
1130112,1130113
1130117,1130118
1130118,1130119
1130119,1130120
1130302,1130303
1130303,1130304
1130304,1130305
1130305,1130306
1130308,1130309
1130309,1130310
1130310,1130311
1130311,1130312
1130312,1130313
1130315,1130316
1130316,1130317
1130317,1130318
1130318,1130319
1130322,1130323
1130323,1130324
1130327,1130330
1130329,1130322
1130402,1130403
1130403,1130404
1130404,1130405
1130405,1130406
1130405,1130408
1130406,1130407
1130408,1130410
1130409,1130408
1130412,1130413
1130504,1130505
1130505,1130506
1130506,1130507
1130507,1130508
1130508,1130509
1130514,1130525
1130515,1130526
1130516,1130517
1130522,1130523
1130525,1130515
1130526,1130516
1130605,1130606
1130612,1130613
1130613,1130614
1130614,1130615
1130617,1130618
1130618,1130619
1130704,1130705
1130705,1130706
1130706,1130707
1130709,1130710
1130710,1130711
1130813,1130814
1130814,1130815
1130815,1130816
1130816,1130817
1130817,1130818
1130902,1130903
1130903,1130904
1130904,1130905
1130905,1130906
1130906,1130907
1130907,1130908
1130912,1130913
1130913,1130914
1130914,1130915
1130915,1130916
1130916,1130917
1131113,1131114
1131114,1131115
1131115,1131116
1131116,1131117
1131117,1131118
1131118,1131119
1131121,1131122
1131122,1131123
1131123,1131124
1131124,1131125
1131125,1131126
1131126,1131127
1131127,1131128
1131128,1131129
1131129,1131130
1131132,1131133
1131133,1131134
1131134,1131135
1131135,1131136
1131136,1131137
1131137,1131138
1131222,1131223
1131312,1131313
1131334,1131335
1131335,1131336
1131402,1131403
1131416,1131417
1131417,1131418
1131418,1131419
1131421,1131422
1131422,1131423
1131423,1131424
1131424,1131425
1131425,1131426
1131426,1131427
1131427,1131428
1131428,1131429
1131502,1131503
1131503,1131504
1131504,1131505
1131507,1131508
1131508,1131509
1131509,1131510
1131510,1131511
1131511,1131512
1131512,1131513
1131513,1131514
1131514,1131515
1131515,1131516
1131516,1131517
1131517,1131518
1131518,1131519
1131519,1131520
1131520,1131521
1131521,1131522
1131522,1131523
1131523,1131524
1131524,1131525
1131602,1131603
1131603,1131604
1131604,1131605
1131605,1131606
1131606,1131607
1131702,1131703
1131705,1131706
1131706,1131707
1131806,1131807
1131809,1131810
1131810,1131811
1131811,1131812
1131907,1131908
1131908,1131909
1131909,1131910
1131910,1131911
1132007,1132008
1132013,1132014
1132106,1132107
1132109,1132110
1132110,1132111
1132111,1132112
1132112,1132113
1132115,1132116
1132116,1132117
1132117,1132118
1132206,1132207
1132207,1132208
1132208,1132209
1132307,1132308
1132308,1132309
1132309,1132310
1132310,1132311
1132311,1132312
1132312,1132313
1132313,1132314
1132314,1132315
1132317,1132318
1132318,1132319
1132319,1132320
1132320,1132321
1132404,1132405
1132405,1132406
1132409,1132410
1132410,1132411
1132411,1132412
1132412,1132413
1132413,1132414
1132414,1132415
1132415,1132416
1132416,1132417
1132419,1132420
1132420,1132421
1132421,1132422
1132422,1132423
1132423,1132424
1132424,1132425
1132425,1132426
1132504,1132505
1132507,1132508
1132508,1132509
1132509,1132510
1132512,1132513
1132513,1132514
1132514,1132515
1132515,1132516
1132516,1132517
1132517,1132518
1132518,1132519
1132519,1132520
1132520,1132521
1132521,1132522
1132522,1132523
1132523,1132524
1132524,1132525
1132525,1132526
1132526,1132527
1132527,1132528
1132528,1132529
1132529,1132530
1132530,1132531
1132603,1132604
1132606,1132607
1132607,1132608
1132608,1132609
1132609,1132611
1132611,1132612
1132612,1132613
1132613,1132619
1132614,1132615
1132615,1132616
1132619,1132614
1132706,1132707
1132707,1132708
1132708,1132709
1132712,1132713
1132713,1132714
1132714,1132715
1132715,1132716
1132716,1132717
1132721,1132722
1132722,1132723
1132723,1132724
1132724,1132725
1132725,1132726
1132726,1132727
1132727,1132728
1133002,1133003
1133003,1133004
1133004,1133005
1133005,1133006
1133006,1133007
1133007,1133008
1133008,1133009
1133009,1133010
1133010,1133011
1133011,1133012
1133012,1133013
1133013,1133014
1133102,1133103
1133103,1133104
1133203,1133204
1133207,1133208
1133208,1133209
1140102,1140103
1140103,1140104
1140212,1140213
1140213,1140214
1140214,1140215
1140215,1140216
1140216,1140217
1140217,1140218
1140218,1140219
1140219,1140220
1140220,1140221
1140221,1140222
1140222,1140223
1140223,1140224
1140224,1140225
1140225,1140226
1140226,1140227
1140227,1140228
1140228,1140229
1140229,1140230
1140230,1140231
1140231,1140232
1140232,1140233
1140233,1140234
1140234,1140235
1140235,1140236
1140236,1140237
1140237,1140238
1150502,1150503
1150503,1150504
1150504,1150505
1150505,1150506
1150506,1150507
1150507,1150508
2100102,2100103
2100103,2100104
2100104,2100105
2100105,2100106
2100106,2100107
2100107,2100108
2100108,2100109
2100109,2100110
2100112,2100113
2100113,2100114
2100114,2100115
2100115,2100116
2100116,2100117
2100117,2100118
2100118,2100119
2100119,2100120
2100122,2100123
2100123,2100124
2100124,2100125
2100127,2100128
2100128,2100129
2100129,2100130
2100130,2100131
2100131,2100132
2100134,2100139
2100135,2100136
2100136,2100137
2100139,2100135
2100205,2100206
2100206,2100207
2100207,2100208
2100210,2100211
2100211,2100212
2100214,2100215
2100215,2100216
2100216,2100217
2100217,2100218
2100218,2100219
2100219,2100220
2100220,2100221
2100221,2100222
2100222,2100223
2100223,2100224
2100224,2100225
2100225,2100226
2100228,2100229
2100233,2100234
2100234,2100235
2100235,2100236
2100302,2100303
2100303,2100304
2100306,2100307
2100402,2100403
2100403,2100404
2100404,2100405
2100405,2100406
2100406,2100407
2100407,2100408
2100408,2100409
2100411,2100412
2100412,2100413
2100413,2100414
2100414,2100415
2100415,2100416
2100416,2100417
2100417,2100418
2100418,2100419
2100419,2100420
2100420,2100421
2100425,2100426
2100426,2100427
2100427,2100428
2100428,2100429
2100431,2100432
2100432,2100433
2100433,2100434
2100502,2100503
2100503,2100504
2100702,2100703
2100703,2100704
2100704,2100705
2100705,2100706
2100706,2100707
2200102,2200103
2200103,2200104
2200104,2200105
2200107,2200108
2200108,2200109
2200109,2200110
2200110,2200111
2200111,2200112
2200112,2200113
2200113,2200114
2200114,2200115
2200115,2200116
2200118,2200119
2200119,2200120
2200120,2200121
2200121,2200122
2200122,2200123
2200123,2200124
2200207,2200208
2200208,2200209
2200209,2200210
2200210,2200212
2200705,2200706
2200706,2200707
2200707,2200708
2200708,2200709
2200709,2200710
2200710,2200711
2200711,2200712
2200712,2200713
2200713,2200714
2200714,2200715
2200715,2200716
2200716,2200717
2200717,2200718
2200723,2200724
2200724,2200725
2200725,2200726
2200726,2200727
2200727,2200728
2200728,2200729
2200806,2200807
2201002,2201003
2201102,2201103
2201106,2201107
2201202,2201203
2201203,2201204
2201204,2201205
2201205,2201206
2300105,2300106
2300106,2300107
2300107,2300108
2300111,2300112
2300112,2300113
2300113,2300114
2300114,2300115
2300115,2300116
2300116,2300117
2300117,2300118
2300118,2300119
2300119,2300120
2300120,2300121
2300121,2300122
2300122,2300123
2300123,2300124
2300124,2300125
2300127,2300128
2300128,2300129
2300129,2300130
2300130,2300131
2300131,2300132
2300134,2300135
2300135,2300136
2300136,2300137
2300137,2300138
2300138,2300139
2300139,2300140
2300202,2300203
2300203,2300204
2300204,2300205
2300302,2300303
2300402,2300403
2300403,2300404
2300404,2300405
2300405,2300406
2300406,2300407
2300407,2300408
2300408,2300409
2300502,2300503
2300503,2300504
2300504,2300505
2300505,2300506
2400108,2400109
2400109,2400110
2400110,2400111
2400111,2400112
2400112,2400113
2400113,2400114
2400114,2400115
2400115,2400116
2400116,2400117
2400119,2400120
2400120,2400121
2400121,2400122
2400126,2400127
2400127,2400128
2400130,2400131
2400131,2400132
2400202,2400203
2400203,2400204
2400204,2400205
2400205,2400206
2400206,2400207
2400207,2400208
2400208,2400209
2400209,2400210
2400210,2400211
2400302,2400303
2400303,2400304
2400304,2400305
2400602,2400603
2400603,2400604
2400606,2400607
2400609,2400610
2400610,2400611
2400611,2400612
2400612,2400613
2400613,2400614
2400614,2400615
2400615,2400616
2400701,2400702
2400702,2400703
2500102,2500103
2500103,2500104
2500108,2500109
2500109,2500110
2500110,2500111
2500111,2500112
2500112,2500113
2500113,2500114
2500114,2500115
2500115,2500116
2500116,2500117
2500119,2500120
2500120,2500121
2500121,2500122
2500124,2500125
2500125,2500126
2500129,2500130
2500130,2500131
2500134,2500135
2500135,2500136
2500136,2500137
2500137,2500138
2500138,2500139
2500139,2500140
2500140,2500141
2500141,2500142
2500142,2500143
2500143,2500144
2500144,2500145
2500145,2500146
2500204,2500205
2500207,2500208
2500208,2500209
2500211,2500212
2500212,2500213
2500215,2500216
2500216,2500217
2500302,2500303
2500303,2500304
2500304,2500305
2500305,2500306
2500306,2500307
2500307,2500308
2600104,2600105
2600105,2600106
2600114,2600115
2600117,2600118
2600118,2600119
2600119,2600120
2600202,2600203
2600203,2600204
2600204,2600205
2600304,2600305
2600305,2600306
2600311,2600312
2600312,2600313
2600313,2600314
2600314,2600315
2600317,2600318
2600318,2600319
2600319,2600320
2600320,2600321
2600323,2600324
2600324,2600325
2600325,2600326
2600402,2600403
2600411,2600412
2600412,2600413
2600413,2600414
2600502,2600503
2600503,2600504
2600506,2600507
2600507,2600508
2600508,2600509
2600509,2600510
2600510,2600511
2600511,2600512
2600512,2600513
2600513,2600514
2600602,2600603
2600603,2600604
2600604,2600605
2600605,2600606
2600702,2600703
2600703,2600704
2600704,2600705
2600705,2600706
2600706,2600707
2600707,2600708
2600708,2600709
2600802,2600803
2700103,2700104
2700104,2700105
2700105,2700106
2700106,2700107
2700107,2700108
2700108,2700109
2700109,2700110
2700110,2700111
2700113,2700114
2700117,2700118
2700118,2700119
2700119,2700120
2700120,2700121
2700121,2700122
2700122,2700123
2700123,2700124
2700124,2700125
2700127,2700128
2700128,2700129
2700129,2700130
2700130,2700131
2700134,2700135
2700135,2700136
2700136,2700137
2700137,2700138
2700140,2700141
2700141,2700142
2700142,2700143
2700143,2700144
2700144,2700145
2700145,2700146
2700148,2700149
2700149,2700150
2700202,2700203
2700203,2700204
2700302,2700303
2700303,2700304
2700304,2700305
2700305,2700306
2700306,2700307
2700402,2700403
2700403,2700404
2700502,2700503
2700503,2700504
2700504,2700505
2700505,2700506
2700506,2700507
2700507,2700508
2700508,2700509
2800102,2800103
2800105,2800106
2800202,2800203
2800215,2800216
2800221,2800222
2800222,2800223
2800223,2800224
2800226,2800227
2800227,2800228
2800322,2800317
2800413,2800414
2800414,2800415
2800415,2800416
2800416,2800417
2800417,2800418
2800418,2800419
2800419,2800420
2800420,2800421
2800421,2800422
2800506,2800507
2800507,2800508
2800508,2800509
2800610,2800611
2800611,2800612
2800619,2800620
2800902,2800903
2800907,2800908
2801010,2801011
2900102,2900103
2900103,2900104
2900104,2900105
2900105,2900106
2900106,2900107
2900202,2900203
2900203,2900204
2900204,2900205
2900205,2900206
2900206,2900207
9930101,9930102
9930101,9930129
9930104,9930105
9930105,9930106
9930118,9930119
9930133,9930134
9930137,9930138
9930201,9930202
9930305,9930306
9930306,9930307
9930313,9930314
9930316,9930317
9930317,9930318
9930318,9930319
9930319,9930320
9930320,9930321
9930321,9930322
9930322,9930323
9930323,9930324
9930324,9930325
9930325,9930326
9930326,9930327
9930403,1131315
9930408,9930409
9930409,9930410
9930414,9930415
9930415,9930416
9930416,9930417
9930417,9930418
9930418,9930419
9930419,9930420
9930501,9930502
9930502,9930503
9930503,9930504
9930504,9930505
9930505,9930506
9930506,9930507
9930507,9930508
9930510,9930511
9930511,9930512
9930512,9930513
9930513,9930514
9930516,9930517
9930517,9930518
9930518,9930519
9930519,9930520
9930520,9930521
9930521,9930522
9930522,9930523
9930523,9930524
9930524,9930525
9930525,9930526
9930526,9930527
9930527,9930528
9930528,9930529
9930602,9930603
9930603,9930604
9930604,9930605
9930605,9930606
9930606,9930607
9930607,9930636
9930609,9930610
9930610,9930611
9930611,9930612
9930612,9930613
9930613,9930614
9930616,9930617
9930619,9930620
9930620,9930621
9930621,9930622
9930622,9930623
9930623,9930624
9930624,9930625
9930625,9930626
9930626,9930627
9930627,9930628
9930628,9930629
9930629,9930630
9930630,9930631
9930631,9930632
9930632,9930633
9930633,9930634
9930634,9930635
9930637,9930616
9930702,9930703
9930703,9930704
9930704,9930705
9930705,9930706
9930802,9930803
9930803,9930804
9930804,9930805
9930805,9930806
9930806,9930814
9930807,9930808
9930808,9930809
9930809,9930810
9930810,9930811
9930811,9930812
9930814,9930807
9930906,9930907
9930907,9930908
9930908,9930909
9930913,9930914
9931002,9931003
9931003,9931004
9931004,9931005
9931005,9931006
9931103,9931104
9931104,9931105
9931105,9931106
9931106,9931107
9931107,9931108
9931108,9931109
9931109,9931110
9931110,9931111
9931111,9931112
9931112,9931113
9931113,9931114
9931114,9931115
9931302,9931303
9931303,9931304
9931304,9931305
9931305,9931306
9931306,9931303
9931402,9931403
9931403,9931404
9931404,9931405
9931405,9931406
9931406,9931407
9931407,9931408
9931408,9931409
9931409,9931410
9931410,9931411
9931411,9931412
9931605,9931606
9931606,9931607
9931609,9931610
9931610,9931611
9931611,9931612
9931617,9931618
9931618,9931619
9931619,9931620
9931623,9931624
9931624,9931625
9931625,9931626
9931628,9931629
9931629,9931630
9931630,9931631
9931702,9931703
9931703,9931704
9931704,9931705
9931705,9931706
9931706,9931707
9931707,9931708
9931708,9931709
9931709,9931710
9931710,9931711
9931711,9931712
9931712,9931713
9932002,9932003
9932003,9932004
9932004,9932005
9932005,9932006
9932006,9932007
9932007,9932008
9932008,9932009
9932009,9932010
9932010,9932011
9932011,9932012
9932012,9932013
9932013,9932014
9932102,9932103
9932103,9932104
9932104,9932105
9932105,9932106
9932106,9932107
9932107,9932108
9932108,9932109
9932109,9932110
9932110,9932111
9932111,9932112
9932112,9932113
9932502,9932503
9932503,9932504
9932504,9932505
9932505,9932506
9932506,9932507
9932507,9932508
9932508,9932509
9932509,9932510
9932510,9932511
9932511,9932512
9932512,9932513
9932513,9932514
9932514,9932515
9932515,9932516
9932516,9932517
9932602,9932603
9932603,9932604
9932604,9932605
9932605,9932606
9932606,9932607
9932607,9932608
9932902,9932903
9932903,9932904
9932904,9932905
9932907,9932908
9932908,9932909
9932909,9932910
9932910,9932911
9932911,9932912
9932912,9932913
9932915,9932916
9932916,9932917
9932917,9932918
9932918,9932919
9932919,9932920
9932920,9932921
9932921,9932922
9932922,9932923
9933105,9933106
9933202,9933203
9933203,9933204
9933204,9933205
9933205,9933206
9933206,9933207
9933207,9933208
9933210,9933211
9933211,9933212
9933212,9933213
9933302,9933303
9933303,9933304
9933401,9933402
9933402,9933403
9933403,9933404
9933408,9933409
9933409,9933410
9933410,9933411
9933411,9933412
9933412,9933413
9933413,9933414
9933414,9933415
9933415,9933416
9933418,9933419
9933502,9933503
9933503,9933504
9933504,9933505
9933505,9933506
9933506,9933507
9933507,9933508
9933508,9933509
9933509,9933510
9933603,9933604
9933604,9933605
9933605,9933606
9933608,9933609
9933609,9933610
9933702,9933703
9933703,9933704
9933802,9933803
9933805,9933806
9933806,9933807
9933807,9933808
9933808,9933809
9933902,9933903
9933903,9933904
9933904,9933905
9933905,9933906
9933906,9933907
9933907,9933908
9933908,9933909
9933909,9933910
9934002,9934003
9934003,9934004
9934004,9934005
9934007,9934008
9934010,9934011
9934011,9934012
9934205,9934206
9934206,9934207
9934207,9934208
9934208,9934209
9934209,9934210
9934210,9934211
9934211,9934212
9934212,9934213
9934302,9934303
9934306,9934307
9934307,9934308
9934308,9934309
9934402,9934403
9934403,9934404
9934404,9934405
9934405,9934406
9940102,9940103
9940103,9940104
9940106,9940107
9940107,9940108
9940110,9940111
9940111,9940112
9940112,9940113
9940113,9940114
9940114,9940115
9940115,9940116
9940116,9940117
9940117,9940118
