station_name,raw_station_cd,converted_station_cd
南浦和,1130511,1130511
南浦和,1133206,1130511
印旛日本医大,2300608,2300608
印旛日本医大,9934015,2300608
吾野,2200130,2200130
吾野,2200206,2200130
和光市,2100111,2100111
和光市,2800601,2100111
和光市,2801001,2100111
四街道,1131413,1131413
四街道,1132811,1131413
国会議事堂前,2800212,2800212
国会議事堂前,2800514,2800212
国府津,1130114,1130114
国府津,1150501,1130114
地下鉄成増,2800602,2800602
地下鉄成増,2801002,2800602
地下鉄赤塚,2800603,2800603
地下鉄赤塚,2801003,2800603
坂戸,2100126,2100126
坂戸,2100701,2100126
堀ノ内,2700147,2700147
堀ノ内,2700501,2700147
多摩川,2600109,2600109
多摩川,2600209,2600109
多摩川,2600601,2600109
多摩湖,2200601,2200601
多摩湖,2201108,2200601
大原,1132418,1132418
大原,9930801,1132418
大岡山,2600206,2600206
大岡山,2600408,2600206
大崎,1130201,1130201
大崎,1132101,1130201
大崎,1133307,1130201
大崎,2900306,1130201
大崎,9933708,1130201
大網,1132407,1132407
大網,1133101,1132407
大門,9930121,9930121
大門,9930209,9930121
天空橋,2700205,2700205
天空橋,9933607,2700205
安房鴨川,1132427,1132427
安房鴨川,1132532,1132427
小川,2200803,2200803
小川,2201004,2200803
小平,2200719,2200719
小平,2200801,2200719
小淵沢,1131139,1131139
小淵沢,1140101,1131139
小竹向原,2200301,2200301
小竹向原,2800606,2200301
小竹向原,2801006,2200301
尾久,1131902,1131902
尾久,1132302,1131902
川崎,1130104,1130104
川崎,1130301,1130104
川崎,1133231,1130104
川越,1132123,1132123
川越,1132205,1132123
川越,2100121,1132123
市川,1131327,1131327
市川,1131406,1131327
市役所前,9933102,9933102
市役所前,9933215,9933102
希望ヶ丘,2900111,2900111
希望ヶ丘,2900311,2900111
府中本町,1130320,1130320
府中本町,1130501,1130320
強羅,9933911,9933911
強羅,9934401,9933911
後楽園,2800204,2800204
後楽園,2800909,2800204
御徒町,1130221,1130221
御徒町,1133219,1130221
成東,1131420,1131420
成東,1133105,1131420
成田,1132703,1132703
成田,1132812,1132703
成田空港（第１旅客ターミナル）,1132705,1132705
成田空港（第１旅客ターミナル）,1132814,1132705
成田空港（第１旅客ターミナル）,2300143,1132705
成田空港（第１旅客ターミナル）,2300611,1132705
我孫子,1132017,1132017
我孫子,1132720,1132017
所沢,2200131,2200131
所沢,2200722,2200131
押上〈スカイツリー前〉,2100203,2100203
押上〈スカイツリー前〉,2800813,2100203
押上（スカイツリー前）,2300201,2300201
押上（スカイツリー前）,9930220,2300201
拝島,1131506,1131506
拝島,1131601,1131506
拝島,1131704,1131506
拝島,2200808,1131506
指扇,1132121,1132121
指扇,1132203,1132121
新丸子,2600110,2600110
新丸子,2600210,2600110
新小岩,1131325,1131325
新小岩,1131405,1131325
新川崎,1130805,1130805
新川崎,1133309,1130805
新御徒町,9930111,9930111
新御徒町,9930902,9930111
新松戸,1130519,1130519
新松戸,1132012,1130519
新百合ヶ丘,2500123,2500123
新百合ヶ丘,2500301,2500123
旗の台,2600406,2600406
旗の台,2600505,2600406
日暮里,1130218,1130218
日暮里,1132002,1130218
日暮里,1133216,1130218
日暮里,2300102,1130218
日暮里,2300602,1130218
日暮里,9934201,1130218
日進,1132120,1132120
日進,1132202,1132120
日野,1131108,1131108
日野,1131228,1131108
明大前,2400106,2400106
明大前,2400608,2400106
春日,9930108,9930108
春日,9930312,9930108
春日部,2100227,2100227
春日部,2100410,2100227
曳舟,2100204,2100204
曳舟,2100501,2100204
月島,2800621,2800621
月島,9930117,2800621
木更津,1132511,1132511
木更津,1133001,1132511
本千葉,1132402,1132402
本千葉,1132502,1132402
東吾野,2200129,2200129
東吾野,2200205,2200129
東府中,2400123,2400123
東府中,2400401,2400123
東成田,2300141,2300141
東成田,9932401,2300141
東戸塚,1130808,1130808
東戸塚,1133312,1130808
東村山,2200721,2200721
東村山,2200901,2200721
東村山,2201005,2200721
東武動物公園,2100230,2100230
東武動物公園,2100301,2100230
東神奈川,1130601,1130601
東神奈川,1133234,1130601
東銀座,2800313,2800313
東銀座,9930211,2800313
東飯能,1131708,1131708
東飯能,2200126,1131708
東飯能,2200202,1131708
松岸,1131430,1131430
松岸,1132718,1131430
松戸,1132009,1132009
松戸,9932924,1132009
柏,1132015,1132015
柏,2100424,1132015
森下,9930114,9930114
森下,9930411,9930114
武蔵境,1131221,1131221
武蔵境,2201201,1131221
武蔵横手,2200128,2200128
武蔵横手,2200204,2200128
氷川台,2800605,2800605
氷川台,2801005,2800605
永田町,2800616,2800616
永田町,2800804,2800616
永田町,2800913,2800616
泉岳寺,2700101,2700101
泉岳寺,9930207,2700101
津田沼,1131333,1131333
津田沼,1131408,1131333
浦和,1131904,1131904
浦和,1132304,1131904
浦和,1133205,1131904
浦和,1133316,1131904
清澄白河,2800811,2800811
清澄白河,9930115,2800811
溜池山王,2800114,2800114
溜池山王,2800914,2800114
溝の口,2600310,2600310
溝の口,2600418,2600310
瀬谷,2900113,2900113
瀬谷,2900313,2900113
田園調布,2600108,2600108
田園調布,2600208,2600108
田町,1130228,1130228
田町,1133226,1130228
田端,1130216,1130216
田端,1133214,1130216
甲府,1131131,1131131
甲府,1140239,1131131
白金台,2800918,2800918
白金台,9930302,2800918
白金高輪,2800917,2800917
白金高輪,9930303,2800917
相模大塚,2900115,2900115
相模大塚,2900315,2900115
相模大野,2500128,2500128
相模大野,2500201,2500128
稲毛,1131337,1131337
稲毛,1131409,1131337
立川,1130325,1130325
立川,1131107,1130325
立川,1131227,1130325
立川,1131501,1130325
立川,1132817,1130325
笹塚,2400104,2400104
笹塚,2400704,2400104
綾瀬,1132006,1132006
綾瀬,2800502,1132006
羽沢横浜国大,2900301,2900301
羽沢横浜国大,2900402,2900301
羽生,2100237,2100237
羽生,9930601,2100237
自由が丘,2600107,2600107
自由が丘,2600410,2600107
茅ケ崎,1130110,1130110
茅ケ崎,1130901,1130110
茅場町,2800310,2800310
茅場町,2800411,2800310
萩山,2200802,2200802
萩山,2201105,2200802
蔵前,9930112,9930112
蔵前,9930217,9930112
蘇我,1132403,1132403
蘇我,1132503,1132403
蘇我,1132618,1132403
表参道,2800118,2800118
表参道,2800517,2800118
表参道,2800802,2800118
西八王子,1131111,1131111
西八王子,1131231,1131111
西国分寺,1130503,1130503
西国分寺,1131225,1130503
西大井,1130804,1130804
西大井,1133308,1130804
西大井,2900307,1130804
西所沢,2200117,2200117
西所沢,2200501,2200117
西新井,2100213,2100213
西新井,2100601,2100213
西武球場前,2200503,2200503
西武球場前,2200603,2200503
西荻窪,1131218,1131218
西荻窪,1131303,1131218
西谷,2900108,2900108
西谷,2900302,2900108
西谷,2900403,2900108
要町,2800608,2800608
要町,2801008,2800608
調布,2400118,2400118
調布,2400201,2400118
豊田,1131109,1131109
豊田,1131229,1131109
赤坂見附,2800115,2800115
赤坂見附,2800213,2800115
赤羽,1131903,1131903
赤羽,1132108,1131903
赤羽,1132303,1131903
赤羽,1133210,1131903
赤羽,1133302,1131903
赤羽岩淵,2800901,2800901
赤羽岩淵,9930701,2800901
越生,1131803,1131803
越生,2100708,1131803
銀座,2800111,2800111
銀座,2800210,2800111
銀座,2800314,2800111
銚子,1131431,1131431
銚子,1132719,1131431
銚子,9933501,1131431
門前仲町,2800412,2800412
門前仲町,9930116,2800412
阿佐ケ谷,1131216,1131216
阿佐ケ谷,1131305,1131216
霞ケ関,2800211,2800211
霞ケ関,2800316,2800211
霞ケ関,2800513,2800211
青砥,2300109,2300109
青砥,2300206,2300109
青砥,2300603,2300109
飯能,2200125,2200125
飯能,2200201,2200125
香取,1132711,1132711
香取,1132902,1132711
高円寺,1131215,1131215
高円寺,1131306,1131215
高津,2600309,2600309
高津,2600417,2600309
高輪ゲートウェイ,1130230,1130230
高輪ゲートウェイ,1133236,1130230
高麗,2200127,2200127
高麗,2200203,2200127
高麗川,1131709,1131709
高麗川,1131801,1131709
高麗川,1132210,1131709
鶯谷,1130219,1130219
鶯谷,1133217,1130219
鶴ヶ峰,2900109,2900109
鶴ヶ峰,2900309,2900109
鶴見,1130401,1130401
鶴見,1133232,1130401
